,artist,genre,name,song,spotify_url
0,Hole,,Violet,,
1,Nirvana,,Come as you Are,,
2,Cage The Elephant,,Shake Me Down,,
3,NF,,Why Would You Leave,,
0,System of a Down,,B.Y.O.B.,,
1,Skrillex,,Kill Everybody,,
2,AJR,,Weak,,
3,Pantera,,Fucking Hostile,,
4,Ben Folds,,Give me my money back,,
5,Jazmine Sullivan,,Bust your Windows,,
6,Slipknot,Rock,PEOPLE=SH*T,,
7,Mary J Blige,,Enough Crying,,
8,Lamb of God,,Black Label,,
9,Lamb of God,,Omerta,,
10,beyonce ,,irreplaceable,,
11,Fall of Troy,,F.C.P.REMIX,,
12,Xavier Wulf,Hard Rap,Alexander Wulf,,
13,Kendrick Lamar,,Element,,
0,MGMT,,Time to Pretend,,
1,Atmosphere,,The Woman with the Tattooed Hands,,
0,Elliott Smith,,Waltz #2,,
1,Nickel Creek,,Love of Mine,,
2,Adele,,Hello ,,
3,Billy Joel,,Vienna,,
4,tegan and sara,,Back in your head,,
5,Breaking Benjamin,Alternative,What Lies Beneath,,
6,No Doubt,,Don't Speak,,
7,Tove Lo,,Habits,,
8,Joyner Lucas,,I'm Sorry,,
9,Nujabes,Piano/Hip Hop,Feather,,
10,John Mayer,,Dear Marie,,
0,Friend Within,,The Renegade,,
1,Cherub,,Doses and Mimosas,,
2,lil wayne,rap,6 foot 7 foot,,
3,Childish Gambino,,IV Sweatpants,,
4,Hieroglyphics,,Oakland Blackouts,,
5,Dusty Springfield,,Son of a Preacher Man,,
6,System of a Down,,Radio/Video,,
7,Shiny Toy Guns,,Le Disko,,
8,Joyner Lucas,,Mask Off,,
9,Calvin Harris,,Slide,,
0,Eminem,rap,Till I collapse,,
1,Radiohead,,Fake plastic trees,,
2,Gorillaz,Alternative,On Melancholy Hill,,
3,Radiohead,,Karma Police,,
4,Maluma,,Felices los 4,,
5,,Piano,,,
6,Frederick Chopin,Piano/Classical,Nocturnes,,
7,Oh Wonder,,Drive,,
0,Capital Cities,Alternative,,Safe and Sound,
1,Martin Solveig,Dance,,Hello,
2,ODesza,,,Line of sight ,
3,Jon Bellion,,,All time Low,
4,Jcole,hip-hop,,Sideline Story,
5,k'naan,rap,,Immigrants (We Get The Job Done),
6,Modest Mouse,,,Dashboard,
7,Lion King Soundtrack,,,Hakuna Matata,
8,Foxy Brown,,,Candy,
9,Cat Power,,,Sea of Love,
10,Shakira,,,Me Enamore,
11,Atmosphere,,,Sunshine,
12,Florence and the Machine,,,Shake it out ,
13,Logic,Rap,,Flexicution ,
14,Yellowman,Raggae,,Morning Road,
15,Bleachers,Alternative,,Don't Take The Money,
0,Survivor,,Eye of the Tiger,,
1,Twenty One Pilots,,Stressed Out,,
2,Justice,,Stress ,,
3,Zion I,,Silly puddy,,
4,Infected Mushroom,,Converting Vegetarians,,
5,50 Cent & The Game,,Hate it or Love it ,,
6, Zion I,,Don't Lose your Head,,
7,The 1975,,The Ballad of Me and My Brain,,
0,Late Night Alumni,,Empty Streets,,
1,Grimes,,Genesis,,
2,Imogen Heap,,Just for Now,,
3,The Beach Boys,,Wouldn't it be nice,,
4,Green Day,,Good Riddance,,
5,Mark Morrison,,Return of the Mack,,
6,Shakira ft. Alejandro Sanz,,La Tortura,,
7,Third Eye Blind,,Semi-Charmed Life,,
8,Logic,,City of Stars,,
9,Tribe Called Quest,,Midnight Marauders,,
10,Bon Iver,,Holocene,,
0,Chet Faker,,I'm Into You,,
1,Rüfüs du Sol,,Desert Night,,
2,Sam Smith,,Im not the only one,,
3,Billy Joel,,Vienna,,
4,Danny Schmidt,,This Too Shall Pass,,
5,Yeah Yeah Yeahs,,Maps,,
6,Nirvana,Alternative,All Apologies,,
7,Fugees,,Killing me Softly with his song,,
8,Gotye,,Somebody that i used to know,,
9,Justin Beiber ,,Cold Water,,
10,Bear's,,Agape,,
