,id,name,primary_genre
0,00dwwnz3V4kRfu3UFYpJLz,Cherub,
1,053q0ukIDRgzwTr4vNSwab,Grimes,
2,09hVIj6vWgoCDtT03h8ZCa,A Tribe Called Quest,
3,0cQbJU1aAzvbEmTuljWLlF,No Doubt,
4,0hEurMDQu99nJRq8pTxO14,John Mayer,
5,0nJaMZM8paoA5HEUTUXPqi,Bear's Den,
6,0SwO7SWeDHJijQ3XNS7xEE,MGMT,
7,0xE1SfMLB42lZxun5g5nrk,Nan Vernon,
8,0XTSrpKEUhzQ5aiYswppxh,Hieroglyphics,
9,14pVkFUHDL207LzLHtSA18,Pantera,
10,1GAS0rb4L8VTPvizAx2O9J,Atmosphere,
11,1gR0gsQYfi6joyO1dlp76N,Justice,
12,1r4hJ1h58CWwUQe3MxPuau,Maluma,
13,26bcq2nyj5GB7uRr558iQg,Survivor,
14,26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,
15,2ApaG60P4r0yhBoDCGD8YG,Elliott Smith,
16,2AsusXITU8P25dlRNhcAbG,Gotye,
17,2Q0MyH5YMI5HPQjFjlq5g3,Chet Faker,
18,2WKdxPFRD7IqZvlIAvhMgY,Fugees,
19,2wY79sveU1sp5g7SokKOiI,Sam Smith,
20,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,
21,3AA28KZvwAUcZuOKwyblJQ,Gorillaz,
22,3bcLBxvaI7GsBzGp3WHnwQ,Nickel Creek,
23,3JFsVIxOn7STeilPICkkB2,Lamb of God,
24,3LLs28LJVlXAjWc8UDkcQZ,Zion I,
25,3mIj9lX2MWuHmhNCA7LSCW,The 1975,
26,3oDbviiivRWhXwIE8hxkVV,The Beach Boys,
27,3TNt4aUIxgfy9aoaft5Jj2,Yeah Yeah Yeahs,
28,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,
29,4dpARuHxo51G3z768sgnrY,Adele,
30,4FJPplt1JOVw8Q7NiwFmLv,Friend Within,
31,4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,
32,4NHQUGzhtTLFvgF5SZesLK,Tove Lo,
33,4xRYI6VqpkE3UwrDrAZL8L,Logic,
34,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,
35,55Aa2cqylxrFIXC767Z865,Lil Wayne,
36,5BtHciL0e0zOP7prIHn3pP,Breaking Benjamin,
37,5cIc3SBFuBLVxJz58W2tU9,Oh Wonder,
38,5e1BZulIiYWPRm8yogwUYH,Tegan and Sara,
39,5eAWCfyUhZtHHtBdNk56l1,System Of A Down,
40,5fuQrhMRYMtoO9uOlFad4P,The Fall of Troy,
41,5he5w2lnU9x7JFhnwcekXX,Skrillex,
42,5SHQUMAmEK5KmuSb0aDvsn,Hole,
43,5th2qoAWV7PiSo8r9zlIRD,Danny Schmidt,
44,5zaXYwewAXedKNCff45U5l,Dusty Springfield,
45,6C1ohJrd5VydigQtaGy5Wa,Joyner Lucas,
46,6JtFllJR7nhh8fa6oGefSj,Late Night Alumni,
47,6olE6TJLqED3rqDCT0FyPh,Nirvana,
48,6s22t5Y3prQHyaHWUN1R1C,AJR,
49,6S2tas4z6DyIklBajDqJxI,Infected Mushroom,
50,6TcnmlCSxihzWOQJ8k0rNS,Third Eye Blind,
51,6tHs9gFIpD0hCVto83sirH,RÜFÜS DU SOL,
52,6UocZe4AprSYBvmn3J0oqY,Shiny Toy Guns,
53,6V3F8MZrOKdT9fU686ybE9,Mark Morrison,
54,6vWDO969PvNqNYHIOW5v0m,Beyoncé,
55,6Xb4ezwoAQC4516kI89nWz,Imogen Heap,
56,6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,
57,73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,
58,7CajNmpbOovFoOoasH2HaY,Calvin Harris,
59,7dGJo4pcD2V6oG8kP0tJRR,Eminem,
60,7gSjFKpVmDgC2MMsnN8CYq,Jazmine Sullivan,
61,7oPftvlwr6VrsViSDV7fJY,Green Day,
