,spotify_id,song_name,genre_id
0,045sp2JToyTaaKyXkGejPy,Fake Plastic Trees,
1,0ENSn4fwAbCGeFGVUbXEU3,Hello,
2,0EYOdF5FCkgOJJla8DI2Md,B.Y.O.B.,
3,0fioLzGM8ngbD1w6fMmm45,I'm Not The Only One,
4,0Q0IVlqMV64kNLlwjPj0Hl,Killing Me Softly With His Song,
5,0q6LuUqGLUiCPP1cbdwFs3,On Melancholy Hill,
6,0qYTZCo5Bwh1nsUFGZP3zn,Felices los 4,
7,0u3rkZ1Z5f1JIPHlLUX2Mi,Agape,
8,0z5ZPs57J2KERwM1tBM2GF,6 Foot 7 Foot,
9,12sYWro0wGQpq0rjE0lKcm,Shake Me Down,
10,18tzenBUBfhF6Z15SGiGPk,Black Label,
11,1EaKU4dMbesXXd3BrLCtYG,ELEMENT.,
12,1j9VtlmHtMqicSBWIxYW4v,The Woman with the Tattooed Hands,
13,1QpJi4MgfAyvJ1jcgFu8GE,Silly Puddy,
14,1uOkapWUZPXQRRHTAAfu6E,Omerta,
15,1Uw4R7ArygXrpiMrs8HJ2O,I'm Sorry,
16,2DezzC1osZwVm3lxIRlrCe,What Lies Beneath,
17,2Gy7qnDwt8Z3MNxqat4CsK,Wouldn't It Be Nice - 2000 - Remaster,
18,2KH16WveTQWT6KOG9Rg6e2,Eye of the Tiger,
19,2kJqNHHGOzLNahukdvlDWN,Drive,
20,2Pdo1VvYDB9FqeuNx8D1FW,Back In Your Head,
21,2R4nLNFAyIEpCUfW8FyRWs,Stress,
22,2rmq49FcJ4U3wh1Z7C9UxE,IV. Sweatpants,
23,2Ypd2QVly4J7OKpUJVAYPL,Converting Vegetarians,
24,3bH8PZsfbCRIoeNiFm7JmU,All Apologies,
25,3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,
26,3jDdpx9PMlfMBS5tOBHFm9,Return Of The Mack - C & J Street Mix,
27,3SVAN3BRByDmHOhKyIDxfC,Karma Police,
28,3ZHdUTURQRucGdzVXeDpsU,This Too Shall Pass,
29,41pOIT2t1rvr2Trg1HQChZ,Radio/Video,
30,42et6fnHCw1HIPSrdPprMl,Semi-Charmed Life,
31,44CZRkOxv7UItaAUmh8PgN,Doses & Mimosas,
32,45iMRHmfLZu3yjdZ8P5e3t,Weak,
33,4fbvXwMTXPWaFyaMWUm9CR,Holocene,
34,4iG2gAwKXsOcijVaVXzRPW,Time to Pretend,
35,4jjtFbO4dYu4JO0CIph6Ak,Le Disko,
36,4OsLDuaH0bWR6xM6nj66F8,F.C.P.R.E.M.I.X.,
37,4P5KoWXOxwuobLmHXLMobV,Come As You Are,
38,4pgaL1i2BzFH4A7IIcGP8i,Love of Mine,
39,4PMkbjjpoIMsEUD2F7ZD3r,Desert Night,
40,4sCYKMatyhazyy6r2N7Hp2,Genesis,
41,4U45aEWtQhrm8A5mxPaFZ7,Vienna,
42,4wCmqSrbyCgxEXROQE6vtV,Somebody That I Used To Know,
43,4xkOaSrkexMciUUogZKVTS,'Till I Collapse,
44,4ZoP9qWd50v7D5dRQUnKrM,Maps,
45,54XGKvGZwA7xB3Uu5vef0C,The Ballad Of Me And My Brain,
46,56z2qI0gKcPthQF6l8AW3E,Bust Your Windows,
47,5AMrnF761nziCWUfjBgRUI,Waltz #2 (XO),
48,5Aq5TIy9jVK70aL7xcE9oa,Dear Marie,
49,5mJbSgVBnJ4ayOjFdmyOdl,City Of Stars,
50,5NfAqXJmhvm3Oup4VoWHx9,Empty Streets,
51,5RU50TPTgtxJLFNunUS2p5,Fucking Hostile,
52,5YTM7OgQDt9EJAYcfHLniJ,Award Tour,
53,62N2JSA0jHmSH7Va9t7hIf,Habits (Stay High) - Hippie Sabotage Remix,
54,698Z2Qfq8LlndH3Sm4jMzC,Mr. Sandman,
55,6CHENx8iqzMwavTIz8s0gm,Violet,
56,6gpcs5eMhJwax4mIfKDYQk,Slide,
57,6I9sncEmtGc9rpKyb8U1f8,Kill EVERYBODY,
58,6ORqU0bHbVCRjXm9AjyHyZ,Good Riddance (Time Of Your Life),
59,6RX5iL93VZ5fKmyvNXvF1r,Irreplaceable,
60,6urCAbunOQI4bLhmGpX7iS,Don't Speak,
61,6ygEO3lvRgtcwXzWHkLDtz,Just for Now,
62,70CbWY20oyqDQHM7xUOhfQ,I'm Into You,
63,7dyWwtPsaL3ThtPtkA4oQK,The Renegade,
64,7FXj7qI1rSovFpvVjleUrE,Oakland Blackouts,
65,7odHgoLFi3GQ90E9PeraI3,Son Of A Preacher Man,
